category,scope,year,count
M2,성균관대,2021,186
M2,성균관대,2022,167
M2,성균관대,2023,182
M2,성균관대,2024,175
M2,성균관대,2025,179
M2,가톨릭대,2016,43
M2,가톨릭대,2017,33
M2,가톨릭대,2018,58
M2,가톨릭대,2019,82
M2,가톨릭대,2020,80
M2,가톨릭대,2021,95
M2,가톨릭대,2022,84
M2,가톨릭대,2023,82
M2,가톨릭대,2024,100
M2,가톨릭대,2025,82
M2,울산대,2016,117
M2,울산대,2017,122
M2,울산대,2018,113
M2,울산대,2019,131
M2,울산대,2020,167
M2,울산대,2021,200
M2,울산대,2022,154
M2,울산대,2023,152
M2,울산대,2024,156
M2,울산대,2025,160
M2,고려대,2016,46
M2,고려대,2017,66
M2,고려대,2018,51
M2,고려대,2019,51
M2,고려대,2020,67
M2,고려대,2021,77
M2,고려대,2022,72
M2,고려대,2023,69
M2,고려대,2024,69
M2,고려대,2025,99
M2,경희대,2016,27
M2,경희대,2017,16
M2,경희대,2018,21
M2,경희대,2019,31
M2,경희대,2020,37
M2,경희대,2021,43
M2,경희대,2022,45
M2,경희대,2023,26
M2,경희대,2024,38
M2,경희대,2025,42
M2,전남대,2016,17
M2,전남대,2017,16
M2,전남대,2018,28
M2,전남대,2019,32
M2,전남대,2020,38
M2,전남대,2021,43
M2,전남대,2022,44
M2,전남대,2023,41
M2,전남대,2024,36
M2,전남대,2025,32
M2,인제대,2016,23
M2,인제대,2017,18
M2,인제대,2018,23
M2,인제대,2019,31
M2,인제대,2020,23
M2,인제대,2021,33
M2,인제대,2022,25
M2,인제대,2023,17
M2,인제대,2024,23
M2,인제대,2025,34
M2,경북대,2016,17
M2,경북대,2017,28
M2,경북대,2018,21
M2,경북대,2019,23
M2,경북대,2020,28
M2,경북대,2021,44
M2,경북대,2022,31
M2,경북대,2023,38
M2,경북대,2024,29
M2,경북대,2025,29
M2,부산대,2016,21
M2,부산대,2017,27
M2,부산대,2018,18
M2,부산대,2019,27
M2,부산대,2020,41
M2,부산대,2021,38
M2,부산대,2022,33
M2,부산대,2023,35
M2,부산대,2024,42
M2,부산대,2025,42
M2,한양대,2016,21
M2,한양대,2017,30
M2,한양대,2018,22
M2,한양대,2019,20
M2,한양대,2020,33
M2,한양대,2021,34
M2,한양대,2022,34
M2,한양대,2023,39
M2,한양대,2024,27
M2,한양대,2025,33
M2,순천향대,2016,20
M2,순천향대,2017,31
M2,순천향대,2018,33
M2,순천향대,2019,32
M2,순천향대,2020,22
M2,순천향대,2021,31
M2,순천향대,2022,31
M2,순천향대,2023,21
M2,순천향대,2024,32
M2,순천향대,2025,27
M2,아주대,2016,19
M2,아주대,2017,19
M2,아주대,2018,22
M2,아주대,2019,32
M2,아주대,2020,23
M2,아주대,2021,30
M2,아주대,2022,32
M2,아주대,2023,19
M2,아주대,2024,20
M2,아주대,2025,28
M2,이화여대,2016,17
M2,이화여대,2017,24
M2,이화여대,2018,16
M2,이화여대,2019,17
M2,이화여대,2020,19
M2,이화여대,2021,29
M2,이화여대,2022,26
M2,이화여대,2023,22
M2,이화여대,2024,26
M2,이화여대,2025,21
M2,중앙대,2016,20
M2,중앙대,2017,13
M2,중앙대,2018,16
M2,중앙대,2019,19
M2,중앙대,2020,16
M2,중앙대,2021,27
M2,중앙대,2022,30
M2,중앙대,2023,23
M2,중앙대,2024,25
M2,중앙대,2025,23
M2,충남대,2016,13
M2,충남대,2017,22
M2,충남대,2018,23
M2,충남대,2019,25
M2,충남대,2020,17
M2,충남대,2021,19
M2,충남대,2022,24
M2,충남대,2023,30
M2,충남대,2024,38
M2,충남대,2025,39
M2,가천대,2016,24
M2,가천대,2017,27
M2,가천대,2018,32
M2,가천대,2019,28
M2,가천대,2020,19
M2,가천대,2021,25
M2,가천대,2022,17
M2,가천대,2023,23
M2,가천대,2024,22
M2,가천대,2025,31
M2,한림대,2016,21
M2,한림대,2017,30
M2,한림대,2018,31
M2,한림대,2019,24
M2,한림대,2020,29
M2,한림대,2021,37
M2,한림대,2022,34
M2,한림대,2023,34
M2,한림대,2024,20
M2,한림대,2025,25
M2,건국대,2016,17
M2,건국대,2017,19
M2,건국대,2018,24
M2,건국대,2019,26
M2,건국대,2020,19
M2,건국대,2021,20
M2,건국대,2022,19
M2,건국대,2023,21
M2,건국대,2024,19
M2,건국대,2025,14
M2,인하대,2016,15
M2,인하대,2017,21
M2,인하대,2018,19
M2,인하대,2019,16
M2,인하대,2020,16
M2,인하대,2021,28
M2,인하대,2022,21
M2,인하대,2023,16
M2,인하대,2024,25
M2,인하대,2025,17
M2,전북대,2016,9
M2,전북대,2017,8
M2,전북대,2018,10
M2,전북대,2019,10
M2,전북대,2020,16
M2,전북대,2021,14
M2,전북대,2022,11
M2,전북대,2023,14
M2,전북대,2024,11
M2,전북대,2025,12
M2,KR,2016,692
M2,KR,2017,774
M2,KR,2018,780
M2,KR,2019,863
M2,KR,2020,937
M2,KR,2021,1010
M2,KR,2022,982
M2,KR,2023,865
M2,KR,2024,890
M2,KR,2025,981
M2,WORLD,2016,14786
M2,WORLD,2017,15748
M2,WORLD,2018,16765
M2,WORLD,2019,18300
M2,WORLD,2020,21126
M2,WORLD,2021,23092
M2,WORLD,2022,22719
M2,WORLD,2023,21438
M2,WORLD,2024,22571
M2,WORLD,2025,25232
M3,서울대,2016,25
M3,서울대,2017,35
M3,서울대,2018,52
M3,서울대,2019,43
M3,서울대,2020,53
M3,서울대,2021,68
M3,서울대,2022,49
M3,서울대,2023,53
M3,서울대,2024,60
M3,서울대,2025,79
M3,연세대,2016,33
M3,연세대,2017,20
M3,연세대,2018,43
M3,연세대,2019,32
M3,연세대,2020,42
M3,연세대,2021,44
M3,연세대,2022,44
M3,연세대,2023,57
M3,연세대,2024,53
M3,연세대,2025,62
M3,성균관대,2016,28
M3,성균관대,2017,40
M3,성균관대,2018,45
M3,성균관대,2019,42
M3,성균관대,2020,36
M3,성균관대,2021,48
M3,성균관대,2022,35
M3,성균관대,2023,57
M3,성균관대,2024,57
M3,성균관대,2025,48
M3,가톨릭대,2016,17
M3,가톨릭대,2017,12
M3,가톨릭대,2018,16
M3,가톨릭대,2019,20
M3,가톨릭대,2020,25
M3,가톨릭대,2021,39
M3,가톨릭대,2022,21
M3,가톨릭대,2023,24
M3,가톨릭대,2024,22
M3,가톨릭대,2025,28
M3,울산대,2016,20
M3,울산대,2017,21
M3,울산대,2018,28
M3,울산대,2019,21
M3,울산대,2020,25
M3,울산대,2021,29
M3,울산대,2022,20
M3,울산대,2023,27
M3,울산대,2024,31
M3,울산대,2025,38
M3,고려대,2016,17
M3,고려대,2017,16
M3,고려대,2018,18
M3,고려대,2019,15
M3,고려대,2020,16
M3,고려대,2021,24
M3,고려대,2022,21
M3,고려대,2023,16
M3,고려대,2024,18
M3,고려대,2025,28
M3,경희대,2016,5
M3,경희대,2017,14
M3,경희대,2018,19
M3,경희대,2019,7
M3,경희대,2020,10
M3,경희대,2021,14
